lib_name;lib_type;lib_version;lib_function_name;lib_function_offset;test_name;test_type;test_function_name;test_function_offset;similarity
func;dll;1;sub_62501230;0x62501230;vuln2;exe;sub_4074A0;0x4074a0;0.6615201410178488
func;dll;1;sub_62501550;0x62501550;vuln2;exe;sub_4074A0;0x4074a0;0.5780250350705063
func;dll;1;sub_62501140;0x62501140;vuln2;exe;sub_4074F0;0x4074f0;0.5922620561064497
func;dll;1;Func1;0x62501280;vuln2;exe;sub_4074F0;0x4074f0;0.5624577903113934
func;dll;1;Func10;0x625012f8;vuln2;exe;sub_4074F0;0x4074f0;0.7189328940858464
func;dll;1;Func11;0x62501318;vuln2;exe;sub_4074F0;0x4074f0;0.6720578940858464
func;dll;1;Func12;0x62501332;vuln2;exe;sub_4074F0;0x4074f0;0.5670046644821789
func;dll;1;Func13;0x62501365;vuln2;exe;sub_4074F0;0x4074f0;0.7189328940858464
func;dll;1;Func14;0x62501385;vuln2;exe;sub_4074F0;0x4074f0;0.7189328940858464
func;dll;1;sub_62501440;0x62501440;vuln2;exe;sub_4074F0;0x4074f0;0.6272667743584127
func;dll;1;sub_62501B70;0x62501b70;vuln2;exe;sub_4074F0;0x4074f0;0.6048788125616034
func;dll;1;sub_625011A0;0x625011a0;vuln2;exe;sub_401180;0x401180;0.6036652769485917
func;dll;1;sub_62501140;0x62501140;vuln2;exe;sub_401260;0x401260;0.6376090185205365
func;dll;1;Func10;0x625012f8;vuln2;exe;sub_401260;0x401260;0.5703014273931559
func;dll;1;Func12;0x62501332;vuln2;exe;sub_401260;0x401260;1.0
func;dll;1;sub_625011A0;0x625011a0;vuln2;exe;sub_401300;0x401300;1.0
func;dll;1;sub_62501000;0x62501000;vuln2;exe;sub_401390;0x401390;0.6414837633941267
func;dll;1;sub_62501140;0x62501140;vuln2;exe;sub_401390;0x401390;0.5447177852376847
func;dll;1;sub_62501230;0x62501230;vuln2;exe;sub_401390;0x401390;1.0
func;dll;1;sub_62501230;0x62501230;vuln2;exe;parse_string;0x4013e0;0.5981987654359578
func;dll;1;TlsCallback_1;0x62501460;vuln2;exe;parse_string;0x4013e0;0.5592462608998129
func;dll;1;sub_62501790;0x62501790;vuln2;exe;parse_string;0x4013e0;0.5578321062051649
func;dll;1;DllEntryPoint;0x62501060;vuln2;exe;_main;0x401447;0.6234496296490297
func;dll;1;sub_62501230;0x62501230;vuln2;exe;vuln_func;0x40158d;0.6321583881777824
func;dll;1;Func12;0x62501332;vuln2;exe;vuln_func;0x40158d;0.5364667898024926
func;dll;1;TlsCallback_1;0x62501460;vuln2;exe;vuln_func;0x40158d;0.599808164036484
func;dll;1;sub_62501790;0x62501790;vuln2;exe;vuln_func;0x40158d;0.6162064821895805
func;dll;1;sub_62501140;0x62501140;vuln2;exe;sub_401B50;0x401b50;0.6722572029700442
func;dll;1;sub_62501230;0x62501230;vuln2;exe;sub_401B50;0x401b50;0.5767678852128507
func;dll;1;Func10;0x625012f8;vuln2;exe;sub_401B50;0x401b50;0.5676865980329074
func;dll;1;Func11;0x62501318;vuln2;exe;sub_401B50;0x401b50;0.5335956889419984
func;dll;1;Func12;0x62501332;vuln2;exe;sub_401B50;0x401b50;0.648847148014459
func;dll;1;Func13;0x62501365;vuln2;exe;sub_401B50;0x401b50;0.5676865980329074
func;dll;1;Func14;0x62501385;vuln2;exe;sub_401B50;0x401b50;0.5676865980329074
func;dll;1;sub_625013C0;0x625013c0;vuln2;exe;sub_401B50;0x401b50;1.0
func;dll;1;Func1;0x62501280;vuln2;exe;sub_401BD0;0x401bd0;0.6428234635128619
func;dll;1;sub_62501440;0x62501440;vuln2;exe;sub_401BD0;0x401bd0;1.0
func;dll;1;sub_62501140;0x62501140;vuln2;exe;TlsCallback_1;0x401bf0;0.5823106496921588
func;dll;1;sub_62501230;0x62501230;vuln2;exe;TlsCallback_1;0x401bf0;0.6773425175065235
func;dll;1;Func12;0x62501332;vuln2;exe;TlsCallback_1;0x401bf0;0.5984715186530275
func;dll;1;sub_625013C0;0x625013c0;vuln2;exe;TlsCallback_1;0x401bf0;0.6165185982829589
func;dll;1;TlsCallback_1;0x62501460;vuln2;exe;TlsCallback_1;0x401bf0;1.0
func;dll;1;TlsCallback_0;0x625014b0;vuln2;exe;TlsCallback_0;0x401c40;1.0
func;dll;1;sub_625011A0;0x625011a0;vuln2;exe;sub_401CE0;0x401ce0;0.6220514208895149
func;dll;1;sub_62501550;0x62501550;vuln2;exe;sub_401CE0;0x401ce0;1.0
func;dll;1;sub_62501550;0x62501550;vuln2;exe;sub_401E80;0x401e80;0.6095048590719753
func;dll;1;sub_625016F0;0x625016f0;vuln2;exe;sub_401E80;0x401e80;1.0
func;dll;1;sub_62501140;0x62501140;vuln2;exe;sub_401F20;0x401f20;0.5790325197144732
func;dll;1;sub_62501230;0x62501230;vuln2;exe;sub_401F20;0x401f20;0.6249529151631811
func;dll;1;Func12;0x62501332;vuln2;exe;sub_401F20;0x401f20;0.6252577234769015
func;dll;1;sub_625013C0;0x625013c0;vuln2;exe;sub_401F20;0x401f20;0.6038656314187153
func;dll;1;TlsCallback_1;0x62501460;vuln2;exe;sub_401F20;0x401f20;0.6602461298933817
func;dll;1;sub_62501790;0x62501790;vuln2;exe;sub_401F20;0x401f20;1.0
func;dll;1;DllEntryPoint;0x62501060;vuln2;exe;sub_401F70;0x401f70;0.7043299386802273
func;dll;1;sub_625017E0;0x625017e0;vuln2;exe;sub_401F70;0x401f70;1.0
func;dll;1;sub_625018D0;0x625018d0;vuln2;exe;sub_402060;0x402060;1.0
func;dll;1;sub_62501140;0x62501140;vuln2;exe;sub_402270;0x402270;1.0
func;dll;1;TlsCallback_1;0x62501460;vuln2;exe;sub_4039D0;0x4039d0;0.5719165994829694
func;dll;1;TlsCallback_0;0x625014b0;vuln2;exe;sub_4025C0;0x4025c0;0.6372260616450972
func;dll;1;sub_62501550;0x62501550;vuln2;exe;sub_4025C0;0x4025c0;0.6928771841964332
func;dll;1;sub_62501550;0x62501550;vuln2;exe;sub_4028A0;0x4028a0;0.7081507617909832
func;dll;1;sub_62501440;0x62501440;vuln2;exe;sub_402910;0x402910;0.6723159573137689
func;dll;1;sub_62501000;0x62501000;vuln2;exe;sub_402930;0x402930;0.619607540868336
func;dll;1;sub_62501140;0x62501140;vuln2;exe;sub_402930;0x402930;0.5631259941764849
func;dll;1;sub_62501230;0x62501230;vuln2;exe;sub_402930;0x402930;0.7018765271524093
func;dll;1;Func12;0x62501332;vuln2;exe;sub_402930;0x402930;0.5966850368306855
func;dll;1;sub_625013C0;0x625013c0;vuln2;exe;sub_402930;0x402930;0.5939946062445712
func;dll;1;TlsCallback_1;0x62501460;vuln2;exe;sub_402930;0x402930;0.6426159846905459
func;dll;1;sub_62501790;0x62501790;vuln2;exe;sub_402930;0x402930;0.5951714740797158
func;dll;1;DllEntryPoint;0x62501060;vuln2;exe;sub_402F20;0x402f20;0.7113936789382216
func;dll;1;sub_625017E0;0x625017e0;vuln2;exe;sub_402F20;0x402f20;0.7065021497867663
func;dll;1;sub_625017E0;0x625017e0;vuln2;exe;sub_403420;0x403420;0.5714618967953675
func;dll;1;sub_62501230;0x62501230;vuln2;exe;sub_403730;0x403730;0.6763476439278827
func;dll;1;TlsCallback_0;0x625014b0;vuln2;exe;sub_403730;0x403730;0.503382572579129
func;dll;1;sub_62501230;0x62501230;vuln2;exe;sub_403780;0x403780;0.6955910885707511
func;dll;1;TlsCallback_1;0x62501460;vuln2;exe;sub_403780;0x403780;0.6426732900518067
func;dll;1;TlsCallback_0;0x625014b0;vuln2;exe;sub_403780;0x403780;0.5085677409769997
func;dll;1;sub_62501790;0x62501790;vuln2;exe;sub_403780;0x403780;0.6026059040396046
func;dll;1;sub_62501000;0x62501000;vuln2;exe;sub_4037D0;0x4037d0;0.6669566918418726
func;dll;1;sub_625011A0;0x625011a0;vuln2;exe;sub_4037D0;0x4037d0;0.5420132193038016
func;dll;1;sub_62501230;0x62501230;vuln2;exe;sub_4037D0;0x4037d0;0.6008190447030006
func;dll;1;TlsCallback_1;0x62501460;vuln2;exe;sub_4037D0;0x4037d0;0.5678829012723685
func;dll;1;TlsCallback_0;0x625014b0;vuln2;exe;sub_4037D0;0x4037d0;0.5659905182244332
func;dll;1;sub_62501550;0x62501550;vuln2;exe;sub_4037D0;0x4037d0;0.6399428599468799
func;dll;1;sub_625016F0;0x625016f0;vuln2;exe;sub_4037D0;0x4037d0;0.5450769275931714
func;dll;1;sub_62501000;0x62501000;vuln2;exe;sub_407460;0x407460;0.5086453086750884
func;dll;1;Func10;0x625012f8;vuln2;exe;sub_407460;0x407460;0.5705620231778464
func;dll;1;Func11;0x62501318;vuln2;exe;sub_407460;0x407460;0.5405620231778464
func;dll;1;Func12;0x62501332;vuln2;exe;sub_407460;0x407460;0.7085976922645196
